,Title,Author,Series,Lang,Label
0,Book Author,NA,NA,English,Indian
1,Making India Awesome,Chetan Bhagat,NA,English,Indian
2,One Indian Girl,Chetan Bhagat,NA,English,Indian
3,Half Girlfriend,Chetan Bhagat,NA,English,Indian
4,Revolution 2020,Chetan Bhagat,NA,English,Indian
5,Naked Triangle,Balwant Gargi,NA,English,Indian
6,A Million Mutinies Now,V.S. Naipaul,NA,English,Indian
7,A Bend in the River,V.S. Naipaul,NA,English,Indian
8,A Brush with Life,Satish Gujral,NA,English,Indian
9,A Passage to England,Nirad C. Chaudhuri,NA,English,Indian
10,A House for Mr. Biswas,V.S. Naipaul,NA,English,Indian
11,A Prisoner’s Scrapbook,L.K. Advani,NA,English,Indian
12,A River Sutra,Gita Mehta,NA,English,Indian
13,A Call to Honour,Jaswant Singh,NA,English,Indian
14,A Sense of Time,H.S. Vatsyayan,NA,English,Indian
15,A Strange and Sublime Address,Amit Chaudhuri,NA,English,Indian
16,A Bunch of Old Letter,Jawaharlal Nehru,NA,English,Indian
17,A Suitable Boy,Vikram Seth,NA,English,Indian
18,A Village by the Sea,Anita Desai,NA,English,Indian
19,Agnibeena,Kazi Nazrul Islam,NA,English,Indian
20,Afternoon Raag,Amit Chaudhuri,NA,English,Indian
21,Ain-i-Akbari,Abul Fazl,NA,English,Indian
22,"Ageless Body, Timeless Mind",Deepak Chopra,NA,English,Indian
23,Akbarnama,Abul Fazl,NA,English,Indian
24,Amar Kosh,Amar Singh,NA,English,Indian
25,An Equal Music,Vikram Seth,NA,English,Indian
26,All the Prime Minister’s Men,Janardan Thakur,NA,English,Indian
27,Arthashastra,Kautilya,NA,English,Indian
28,An Idealist View of Life,Dr. S. Radhakrishnan,NA,English,Indian
29,Devi Chaudhurani,Bankim Chandra Chatterjee,NA,English,Indian
30,Anandmath,Bankim Chandra Chatterjee,NA,English,Indian
31,An Autobiography,Jawaharlal Nehru,NA,English,Indian
32,Autobiography of an Unknown India,Nirad C. Chaudhuri,NA,English,Indian
33,Bandicoot Run,Manohar Malgonkar,NA,English,Indian
34,Beginning of the Beginning,Bhagwan Shri Rajneesh,NA,English,Indian
35,"Beyond Modernization, Beyond Self",Sisir Kumar Ghosh,NA,English,Indian
36,Bhagavad Gita,S. Radhakrishnan,NA,English,Indian
37,Border and Boundaries; women in India’s Partition,Ritu Menon & Kamla Bhasin,NA,English,Indian
38,Bharat Bharati,Maithili Saran Gupt,NA,English,Indian
39,Bride and the Sahib and the Other Stories,Khushwant Singh,NA,English,Indian
40,Broken Wings,Sarojini Naidu,NA,English,Indian
41,Bubble,Mulk Raj Anand,NA,English,Indian
42,"The Bread, Beauty and Revolution",Khwaja Ahmad Abbas,NA,English,Indian
43,By God’s Decree,Kapil Dev,NA,English,Indian
44,Chemmeen,Thakazhi Sivasankara Pillai,NA,English,Indian
45,Chitra,Rabindranath Tagore,NA,English,Indian
46,Circle of Reason,Amitav Ghosh,NA,English,Indian
47,Circle of Silence,Preeti Singh,NA,English,Indian
48,Clear Light of Day,Anita Desai,NA,English,Indian
49,Confessions of a Lover,Mulk Raj Anand,NA,English,Indian
50,Conquest of Self,Mahatma Gandhi,NA,English,Indian
51,Coolie,Mulk Raj Anand,NA,English,Indian
52,Court Dancer,Rabindranath Tagore,NA,English,Indian
53,Crescent Moon,Rabindranath Tagore,NA,English,Indian
54,Days of My Years,H.P. Nanda,NA,English,Indian
55,Death of a City,Amrita Pritam,NA,English,Indian
56,Devdas,Sarat Chandra Chatterjee,NA,English,Indian
57,Discovery of India,Jawaharlal Nehru,NA,English,Indian
58,Divine Life,Swami Sivananda,NA,English,Indian
59,Durgesh Nandini,Bankim Chandra Chatterjee,NA,English,Indian
60,Dynamics of Social Change,Chandra Shekhar,NA,English,Indian
61,Eight Lives,Rajmohan Gandhi,NA,English,Indian
62,Essays on Gita,Sri Aurobindo Ghosh,NA,English,Indian
63,Eternal Himalayas,Major H.P.S. Ahluwalia,NA,English,Indian
64,Faces of Everest,Major H.P.S. Ahluwalia,NA,English,Indian
65,Foreign Policy of India,I.K. Gujral,NA,English,Indian
66,Forty-Nine Days,Amrita Pritam,NA,English,Indian
67,From Rajpath to Lokpath,Vijaya Raje Schindhia,NA,English,Indian
68,Ganadevata,Tara Sankar Bandyopadhyay,NA,English,Indian
69,Ghasiram Kotwal,Vijay Tendulkar,NA,English,Indian
70,Gitanjali,Rabindranath Tagore,NA,English,Indian
