,Title,Author,Series,Lang,Label
0,Book Author,,,English,Indian
1,Making India Awesome,Chetan Bhagat,,English,Indian
2,One Indian Girl,Chetan Bhagat,,English,Indian
3,Half Girlfriend,Chetan Bhagat,,English,Indian
4,Revolution 2020,Chetan Bhagat,,English,Indian
5,Naked Triangle,Balwant Gargi,,English,Indian
6,A Million Mutinies Now,V.S. Naipaul,,English,Indian
7,A Bend in the River,V.S. Naipaul,,English,Indian
8,A Brush with Life,Satish Gujral,,English,Indian
9,A Passage to England,Nirad C. Chaudhuri,,English,Indian
10,A House for Mr. Biswas,V.S. Naipaul,,English,Indian
11,A Prisoner’s Scrapbook,L.K. Advani,,English,Indian
12,A River Sutra,Gita Mehta,,English,Indian
13,A Call to Honour,Jaswant Singh,,English,Indian
14,A Sense of Time,H.S. Vatsyayan,,English,Indian
15,A Strange and Sublime Address,Amit Chaudhuri,,English,Indian
16,A Bunch of Old Letter,Jawaharlal Nehru,,English,Indian
17,A Suitable Boy,Vikram Seth,,English,Indian
18,A Village by the Sea,Anita Desai,,English,Indian
19,Agnibeena,Kazi Nazrul Islam,,English,Indian
20,Afternoon Raag,Amit Chaudhuri,,English,Indian
21,Ain-i-Akbari,Abul Fazl,,English,Indian
22,"Ageless Body, Timeless Mind",Deepak Chopra,,English,Indian
23,Akbarnama,Abul Fazl,,English,Indian
24,Amar Kosh,Amar Singh,,English,Indian
25,An Equal Music,Vikram Seth,,English,Indian
26,All the Prime Minister’s Men,Janardan Thakur,,English,Indian
27,Arthashastra,Kautilya,,English,Indian
28,An Idealist View of Life,Dr. S. Radhakrishnan,,English,Indian
29,Devi Chaudhurani,Bankim Chandra Chatterjee,,English,Indian
30,Anandmath,Bankim Chandra Chatterjee,,English,Indian
31,An Autobiography,Jawaharlal Nehru,,English,Indian
32,Autobiography of an Unknown India,Nirad C. Chaudhuri,,English,Indian
33,Bandicoot Run,Manohar Malgonkar,,English,Indian
34,Beginning of the Beginning,Bhagwan Shri Rajneesh,,English,Indian
35,"Beyond Modernization, Beyond Self",Sisir Kumar Ghosh,,English,Indian
