,Title,Author,Series,Lang,Label
0,17,﻿McCauley Paul J,Unnamed: 3,English,Non-Indian
1,17,Mcauley Paul J,NA,English,Non-Indian
2,33,Moore G E,Wittgenstein\,NA,Non-Indian
3,33,Moore G E,Wittgenstein\,NA,Non-Indian
4,47,Mosley Walter,NA,English,Non-Indian
5,47,Mosley Walter,NA,English,Non-Indian
6,48,Herbert James,NA,English,Non-Indian
7,334,Disch Thomas M,NA,English,Non-Indian
8,334,Disch Thomas M,NA,English,Non-Indian
9,361,Westlake Donald E,NA,English,Non-Indian
10,1492,Johnston Mary,NA,English,Non-Indian
11,1601,Twain Mark,NA,English,Non-Indian
12,1601,Twain Mark,NA,English,Non-Indian
13,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
14,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
15,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
16,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
17,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
18,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
19,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
20,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
21,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
22,1632,Eric Flint; Weber David,Ring of Fire 1,English,Non-Indian
23,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
24,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
25,1632,Flint Eric; Weber David,Ring of Fire 1,English,Non-Indian
26,1632,Weber David; Flint Eric,NA,English,Non-Indian
27,1632,Weber David; Flint Eric,NA,English,Non-Indian
28,1632,Weber David; Flint Eric,NA,English,Non-Indian
29,1632,Weber David; Flint Eric,NA,English,Non-Indian
30,1633,Flint Eric; Weber David,Ring of Fire 2,English,Non-Indian
31,1633,Flint Eric; Weber David,Ring of Fire 2,English,Non-Indian
32,1633,Flint Eric; Weber David,Ring of Fire 2,English,Non-Indian
33,1633,Flint Eric; Weber David,Ring of Fire 2,English,Non-Indian
34,1633,Flint Eric; Weber David,Ring of Fire 2,English,Non-Indian
35,1633,Flint Eric; Weber David,Ring of Fire 2,English,Non-Indian
36,1633,Flint Eric; Weber David,Ring of Fire 2,English,Non-Indian
37,1633,Flint Eric; Weber David,Ring of Fire 2,English,Non-Indian
38,1633,Flint Eric; Weber David,Ring of Fire 2,English,Non-Indian
39,1633,Weber David; Flint Eric,NA,English,Non-Indian
40,1633,Weber David; Flint Eric,NA,English,Non-Indian
41,1633,Weber David; Flint Eric,NA,English,Non-Indian
42,1862,Conroy Robert,NA,English,Non-Indian
43,1901,Conroy Robert,NA,English,Non-Indian
44,1901,Conroy Robert,NA,English,Non-Indian
45,1945,Conroy Robert,NA,English,Non-Indian
46,Best Science Fiction Stories 1949,Dikty T E; Blieler E F,NA,English,Non-Indian
47,Best Science Fiction Stories 1949,Dikty T E; Blieler E F,NA,English,Non-Indian
48,2001,Clarke Arthur C,Odessey 1,English,Non-Indian
